image_id,image_type,eyes_crown,eyes_base,ratio_eyes,snout_back,crown_base,ratio_head,year,exact,source
2534,side,NA,NA,NA,220,174,1.264368,2000,1,ebay
4269,front,77,119,0.647059,NA,NA,NA,1989,1,ebay
5033,front,82,90,0.911111,NA,NA,NA,1995,1,ebay
5040,side,NA,NA,NA,235,196,1.19898,1988,1,ebay
5619,front,97,94,1.031915,NA,NA,NA,1986,1,ebay
5715,side,NA,NA,NA,138,119,1.159664,1991,1,ebay
6019,side,NA,NA,NA,201,178,1.129213,1985,1,ebay
6071,front,74,129,0.573643,NA,NA,NA,1990,1,ebay
7344,side,NA,NA,NA,180,154,1.168831,1999,1,ebay
7464,front,34,63,0.539683,NA,NA,NA,1986,1,ebay
7985,side,NA,NA,NA,345,342,1.008772,1988,1,ebay
8583,side,NA,NA,NA,207,214,0.96729,1992,1,ebay
9335,front,88,81,1.08642,NA,NA,NA,1990,1,ebay
10695,side,NA,NA,NA,127,115,1.104348,1984,1,ebay
10708,front,94,84,1.119048,NA,NA,NA,1988,1,ebay
10768,side,NA,NA,NA,184,143,1.286713,1996,1,ebay
11340,front,92,93,0.989247,NA,NA,NA,1985,0,ebay
11366,side,NA,NA,NA,209,159,1.314465,1988,1,ebay
11858,side,NA,NA,NA,220,244,0.901639,1993,1,ebay
12227,front,100,135,0.740741,NA,NA,NA,1987,1,ebay
12296,side,NA,NA,NA,186,202,0.920792,1985,0,ebay
12811,front,54,75,0.72,NA,NA,NA,1999,0,ebay
12830,front,69,76,0.907895,NA,NA,NA,1993,1,ebay
13262,front,51,78,0.653846,NA,NA,NA,1998,1,ebay
15465,front,55,70,0.785714,NA,NA,NA,1996,1,ebay
15795,front,42,59,0.711864,NA,NA,NA,1984,1,ebay
16278,side,NA,NA,NA,148,190,0.778947,1998,1,ebay
18465,front,59,54,1.092593,NA,NA,NA,1991,1,ebay
21142,side,NA,NA,NA,238,200,1.19,1990,1,ebay
22406,front,105,110,0.954545,NA,NA,NA,1988,1,ebay
23489,side,NA,NA,NA,149,135,1.103704,1986,1,ebay
24702,front,206,174,1.183908,NA,NA,NA,1984,1,ebay
25640,front,42,112,0.375,NA,NA,NA,1988,1,ebay
28206,front,47,102,0.460784,NA,NA,NA,1997,1,ebay
28256,front,76,85,0.894118,NA,NA,NA,2000,1,ebay
28552,front,65,92,0.706522,NA,NA,NA,1994,1,ebay
29439,side,NA,NA,NA,211,236,0.894068,1984,1,ebay
29919,front,72,99,0.727273,NA,NA,NA,1985,0,ebay
30021,front,72,77,0.935065,NA,NA,NA,1985,1,ebay
30238,front,61,77,0.792208,NA,NA,NA,1996,1,ebay
30446,side,NA,NA,NA,174,160,1.0875,1994,1,ebay
30832,side,NA,NA,NA,156,136,1.147059,1999,0,ebay
32680,side,NA,NA,NA,155,135,1.148148,1987,1,ebay
